date,Housing_total_sales_NO_SI,Gray_cement_dispatch_contractor,RADAR_Tools,Housing_total_launch_NO_SI,Housing_total_sales,Gray_cement_dispatch_other,RADAR_Plumbinglag_3,Housing_total_launch_NO_SIlag_4,Seasonal,Offshore_microcredit_loans,Quantity
7/31/2016,6256,214056.971,82393417195,6429,13739,53276.6685,48669728105,5330,-0.357838563,0.13709104,-0.826381254
10/31/2016,5573,211352.941,93291371970,5188,13221,56302.6785,57289988032,4962,0.378157442,0.13198036,-0.606153512
11/30/2016,5673,199709.669,85288763461,5901,13377,56644.9475,48388624569,7358,0.462238666,0.08297845,-0.414741232
12/31/2016,5578,170001.5725,93704045455,5259,12359,47064.194,44304758645,6642,-1.01981232,0.0739181,-1.602751673
1/31/2017,6261,165063.331,58801147114,4495,14393,52611.2195,50686765888,6429,1.432420999,0.07015605,-0.138953894
2/28/2017,5820,198454.4215,69569542028,5888,16303,50081.986,49729366514,5188,1.434761854,0.07132081,-0.217793329
3/31/2017,5997,187013.2245,84880891590,5132,14701,50648.938,64895784079,5901,-0.277287549,0.06887635,-0.392684768
4/30/2017,5996,192259.7965,97751877097,4673,14941,49507.819,47753024788,5259,-1.696388761,0.04730271,-0.31850663
5/31/2017,5369,192226.9025,95960466609,5016,14776,50825.6555,52446104855,4495,-0.906402148,0.07416075,-0.000534207
6/30/2017,5094,181408.312,85919145563,4750,13901,44217.9086,51338027277,5888,-1.058732981,0.12560243,-0.442791855
7/31/2017,5465,182282.6537,94471774578,3484,14664,49435.847,53737850763,5132,0.197460075,0.18165115,-0.298244391
8/31/2017,5550,206398.6165,77547223902,6226,15830,51685.7535,54467974405,4673,1.092847413,0.25681493,0.030112125
9/30/2017,6489,205553.362,86319151651,6560,15415,47247.7475,55065893448,5016,-0.357838563,0.38001401,-0.08752332
10/31/2017,6034,211945.584,88988487454,4097,14786,49174.314,69064901616,4750,0.378157442,0.380854,-0.359409446
